127.0.0.1 - - [16/Nov/2023:10:05:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:05:33 +0900] "GET /ggulzip/views/img/bee.png HTTP/1.1" 200 54291
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:05:33 +0900] "GET /ggulzip/ HTTP/1.1" 200 25243
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:05:33 +0900] "GET /ggulzip/resources/assets/img/main-card-black.png HTTP/1.1" 200 19599
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:05:34 +0900] "GET /ggulzip/getPageInfo.po?currentPage=1 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:05:34 +0900] "GET /ggulzip/popularPost.po?standard=1&listCount=25&currentPage=1&pageLimit=10&boardLimit=20&maxPage=2&startPage=1&endPage=2 HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:05:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:34 +0900] "GET /ggulzip/ HTTP/1.1" 200 26634
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:34 +0900] "GET /ggulzip/getPageInfo.po?currentPage=1 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:34 +0900] "GET /ggulzip/popularPost.po?standard=1&listCount=25&currentPage=1&pageLimit=10&boardLimit=20&maxPage=2&startPage=1&endPage=2 HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:36 +0900] "GET /ggulzip/ HTTP/1.1" 200 26634
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:37 +0900] "GET /ggulzip/getPageInfo.po?currentPage=1 HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:37 +0900] "GET /ggulzip/popularPost.po?standard=1&listCount=25&currentPage=1&pageLimit=10&boardLimit=20&maxPage=2&startPage=1&endPage=2 HTTP/1.1" 200 7217
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:41 +0900] "POST /ggulzip/saveChat.ch HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:41 +0900] "POST /ggulzip/selectChat.ch HTTP/1.1" 200 743
0:0:0:0:0:0:0:1 - - [16/Nov/2023:10:06:43 +0900] "GET /ggulzip/ HTTP/1.1" 200 26634
